Metric,Train,Test
Loss,0.21633983204777313,0.2530923396636856
IoU,0.5725769646734309,0.5370318466662244
Accuracy,0.9352810787351172,0.9226079417869814
Precision,0.9534186716459576,0.9250406218633395
Recall,0.8397870651710617,0.8227703268915207
F1 Score,0.893002572657453,0.8709133849752341
